lm=l*L^beta*(1+z)^nLestánormalizadaconL0=10^28[WHz^-1]
L=4*pi*Da^2*S/((1+z)^(alfa-3))siendoS(totalfluxdensityconudeJy=10^-26[Wm^-2Hz^-1]),Datieneudem,yalfa(spectralindex)

Source	z	θ	σθ	S	α	Type
P2351-006	0.462	2.743	0.027	2.49	-0.1	Q
3C279	0.5362	1.454	0.052	11.8	0.1	Q
P0252-549	0.539	1.049	0.077	1.94	0.1	Q
P1136-13	0.558	1.974	0.048	3.4	-0.3	Q
P0403-13	0.574	2.399	0.077	4	0.1	Q
P0920-39	0.591	1.933	0.097	2.1	-0.2	Q
3C345	0.5928	1.525	0.041	7.6	0	Q
GC1104+16	0.632	1.762	0.15	1.1	-0.1	Q
P0113-118	0.67	2.218	0.108	2.7	-0.1	Q
P2329-415	0.6715	1.292	0.208	1.1	-0.1	Q
GC2251+13	0.673	1.972	0.11	1.1	-0.3	Q
P2344+09	0.677	1.904	0.075	1.9	-0.2	Q
1803+78	0.68	1.244	0.129	2.6	-0.1	Q
0651+82	0.71	1.454	0.245	1.3	0	Q
P1354+19	0.72	1.415	0.074	1.8	-0.1	Q
GC1636+47	0.74	1.139	0.076	1.06	-0.1	Q
P1237-10	0.752	1.518	0.058	1.63	-0.2	Q
P2135-248	0.819	0.897	0.304	0.7	-0.2	Q
3C179	0.846	1.953	0.144	1.7	-0.3	Q
P0915-213	0.847	1.758	0.094	0.6	-0.1	Q
GC1213+35	0.857	1.73	0.183	1.2	-0.3	Q
P0454-46	0.858	2.094	0.049	2.439	-0.2	Q
P1252+11	0.871	1.635	0.249	0.8	-0.2	Q
P1055+01	0.888	1.144	0.059	2.87	0	Q
P0537-441	0.894	1.149	0.041	3.777	0.1	Q
P0537-158	0.947	1.747	0.087	0.64	-0.1	Q
P2354-11	0.96	1.661	0.121	1.5	-0.2	Q
P1933-400	0.965	1.81	0.063	1.308	0.1	Q
GC0237+04	0.978	0.568	0.426	0.8	0.1	Q
P0208-512	0.999	1.031	0.051	3.679	-0.2	Q
P0355-483	1.016	1.517	0.033	0.62	-0.1	Q
P0906+01	1.018	1.794	0.081	0.76	-0.2	Q
P0130-17	1.02	1.544	0.197	1	0	Q
OJ320	1.025	1.552	0.122	1.2	0	Q
P1348-289	1.034	1.797	0.163	1	-0.3	PQ
P2356+196	1.066	1.155	0.453	0.6	0.1	Q
GC1514+19	1.07	0.76	0.07	0.525	0	PQ
P0122-00	1.08	1.529	0.16	1.3	-0.2	Q
GC1144+40	1.088	1.399	0.258	0.9	-0.2	Q
GC1335+55	1.0987	0.88	0.581	0.6	-0.2	Q
P2303-052	1.139	1.638	0.086	0.567	-0.3	Q
P1210+134	1.141	1.727	0.053	0.514	-0.1	Q
P2329-16	1.153	1.758	0.054	1.2	0.1	Q
P1438-347	1.159	1.277	0.069	0.517	-0.2	Q
P2332-017	1.184	1.485	0.048	0.57	-0.3	Q
P1127-14	1.187	1.611	0.089	0.79	0	Q
P2329-384	1.202	1.099	0.081	0.796	-0.2	Q
P1004-018	1.212	1.254	0.088	0.64	0.1	Q
QC08211+39	1.216	2.622	0.085	1.9	-0.2	Q
OV591	1.22	2.032	0.147	1.4	-0.1	Q
P1823-455	1.244	1.38	0.064	0.588	-0.3	Q
1150+81	1.25	2.44	0.151	1	-0.1	Q
VRO40.09.02	1.252	2.109	0.111	1.7	0	Q
GC1020+40	1.254	1.544	0.19	1.2	-0.3	Q
GC0537+53	1.275	1.046	0.381	0.8	-0.3	Q
P0514-16	1.278	1.883	0.146	0.7	-0.1	Q
P0405-385	1.285	0.979	0.111	2.2	0.1	Q
OR186	1.29	1.583	0.107	0.87	-0.3	Q
GC0707+47	1.292	0.517	0.77	0.8	-0.3	Q
P0511-220	1.296	1.2	0.187	1.3	0.1	PQ
P2326-477	1.299	2.07	0.047	2.48	0	Q
P0448-392	1.302	1.387	0.064	0.89	0	Q
P1449-012	1.319	1.682	0.064	0.803	-0.1	Q
P2312-319	1.323	0.528	0.135	0.746	-0.3	Q
P1327-311	1.326	0.438	0.863	0.5	0.1	Q
P1615+29	1.339	1.608	0.117	0.62	-0.2	Q
P1831-711	1.356	1.46	0.058	1.364	-0.2	Q
P0522-611	1.4	1.168	0.096	0.722	-0.1	Q
P0005-239	1.407	0.758	0.14	0.59	-0.1	Q
P2320-035	1.41	0.596	0.171	0.79	-0.1	Q
GC0820+56	1.417	0.424	0.114	0.958	-0.3	Q
GC0805+41	1.42	1.481	0.306	0.7	-0.3	Q
P1532+01	1.435	1.172	0.074	1.19	-0.3	Q
P2335-18	1.446	1.81	0.168	0.725	-0.3	Q
P1030-357	1.455	1.718	0.073	0.682	-0.2	Q
AO0952+17	1.472	1.484	0.223	1	-0.3	Q
GC2253+41	1.476	1.327	0.19	1.5	-0.3	Q
P0524-460	1.479	1.784	0.059	0.895	0.1	Q
P2052-47	1.489	1.292	0.082	1.05	-0.3	Q
P0220-349	1.49	1.243	0.059	0.6	0	Q
P2058-297	1.492	0.87	0.429	0.5	-0.2	Q
4C46.29	1.5586	2.446	0.216	0.7	0.1	Q
P2227-08	1.5595	1.038	0.109	1.3	-0.1	Q
P0406-127	1.563	0.796	0.168	0.58	0.1	Q
P0837+035	1.57	1.497	0.1	0.65	-0.3	Q
P1104-445	1.598	1.743	0.081	1.06	0.1	Q
P1351+021	1.6077	1.788	0.034	0.347	-0.3	Q
P0127+145	1.6301	1.788	0.051	0.579	-0.2	Q
P1130+009	1.633	0.659	0.203	0.33	0	Q
P0229-398	1.646	1.431	0.093	0.629	0.1	Q
NRAO512	1.66	1.245	0.214	1.1	0.1	Q
P0922+005	1.72	1.005	0.108	0.94	0	Q
P0202-17	1.74	1.464	0.124	1.2	0	Q
P1148-171	1.751	1.602	0.205	0.9	-0.3	Q
DW1403-08	1.763	1.629	0.139	0.73	-0.3	Q
P2320-021	1.774	1.25	0.191	0.33	0	Q
P0108-079	1.776	0.66	0.15	1.054	-0.2	Q
P1451-400	1.81	1.136	0.047	0.734	-0.2	Q
P1034-374	1.821	0.518	0.082	0.567	-0.3	Q
P0805-07	1.837	0.85	0.495	1.1	0.1	Q
0633+73	1.85	1.635	0.307	0.9	-0.3	Q
OK492	1.873	1.13	0.286	1.1	0.1	Q
OP-192	1.89	1.537	0.059	1.17	0.1	Q
OH-230	1.9	1.396	0.194	0.7	-0.2	PQ
GC1656+34	1.939	1.526	0.163	0.6	-0.2	Q
P0048-071	1.975	1.207	0.094	0.712	-0.1	Q
GC0119+24	2.025	1.7	0.279	0.7	0.1	Q
OF036	2.048	1.901	0.148	0.8	-0.1	Q
P0226-038	2.055	1.595	0.057	0.809	-0.3	Q
GC1325+43	2.073	1.422	0.368	0.6	-0.3	PQ
P2319+07	2.09	1.916	0.132	0.9	0	Q
P1116+12	2.118	0.564	0.664	0.5	-0.3	Q
P2145-17	2.13	2.264	0.048	0.834	-0.1	PQ
P1020+191	2.136	1.449	0.077	0.57	-0.3	Q
P0642-349	2.165	1.097	0.223	1.2	0.1	Q
P1032-199	2.198	1.434	0.036	1.082	0.1	Q
P2314-409	2.448	1.676	0.045	0.525	-0.3	Q
GC1337+63	2.5584	1.598	0.323	0.6	-0.2	Q
P0329-255	2.685	1.506	0.101	0.417	-0.1	Q
P0136+176	2.73	1.252	0.132	0.52	0	PQ
