z	Dist	Stat_error	Sist_error	wb_fid	type
0.15	4.473	0.159	0	0.0215472	Dv/rd
0.44	11.548	0.559	0	0.0241968	Dv/rd
0.6	14.946	0.68	0	0.0241968	Dv/rd
0.73	16.931	0.579	0	0.0241968	Dv/rd
1.52	26.005	0.995	0	0.02213992	Dv/rd
					
0.81	10.75	0.43	0	0.02156	Da/rd
					
0.38	10.272	0.135	0.074	0.022	Dm/rd
0.51	13.378	0.156	0.095	0.022	Dm/rd
0.61	15.449	0.189	0.108	0.022	Dm/rd
0.698	17.65	0.3	0	0.0212	Dm/rd
1.48	30.21	0.79	0	0.022	Dm/rd
2.33	37.77	2.13	0	0.02222	Dm/rd
2.4	36.6	1.2	0	0.02222	Dm/rd
					
0.698	19.77	0.47	0	0.0212	Dh/rd
1.48	13.23	0.47	0	0.022	Dh/rd
2.33	9.07	0.31	0	0.02222	Dh/rd
2.4	8.94	0.22	0	0.02222	Dh/rd
					
0.38	12044.07	251.226	133.002	0.022	H*rd
0.51	13374.09	251.226	147.78	0.022	H*rd
0.61	14378.994	266.004	162.558	0.022	H*rd
